"Name","Live Bytes","Live Objects"
"net.i2p.router.transport.udp.UDPTransport$DestroyedCache","64 B (0%)","1 (0%)"
"javax.servlet.jsp.el.ImplicitObjectELResolver$Scope[]","64 B (0%)","1 (0%)"
"java.util.concurrent.Semaphore$NonfairSync","64 B (0%)","2 (0%)"
"java.util.PropertyPermission","64 B (0%)","2 (0%)"
"sun.rmi.transport.tcp.TCPTransport","64 B (0%)","2 (0%)"
"sun.security.x509.SubjectAlternativeNameExtension","64 B (0%)","2 (0%)"
"java.lang.module.ModuleDescriptor$Version","64 B (0%)","2 (0%)"
"java.lang.StackWalker$Option[]","64 B (0%)","2 (0%)"
"net.i2p.router.transport.udp.OutboundEstablishState$OutboundState[]","64 B (0%)","1 (0%)"
"java.io.ClassCache$1","64 B (0%)","2 (0%)"
"org.apache.el.parser.AstLiteralExpression","64 B (0%)","2 (0%)"
"net.i2p.router.naming.BlockfileNamingService","64 B (0%)","1 (0%)"
"sun.font.TrueTypeGlyphMapper","64 B (0%)","2 (0%)"
"jdk.proxy1.$Proxy1","64 B (0%)","4 (0%)"
"net.i2p.router.transport.CommSystemFacadeImpl$LRUCache","64 B (0%)","1 (0%)"
"jdk.jfr.internal.jfc.JFC$KnownConfiguration","64 B (0%)","2 (0%)"
"org.eclipse.jetty.http.HttpURI$State[]","64 B (0%)","1 (0%)"
"net.i2p.router.transport.CommSystemFacadeImpl$2","64 B (0%)","1 (0%)"
"sun.security.ssl.SSLCipher$T11BlockReadCipherGenerator","64 B (0%)","4 (0%)"
"net.i2p.util.AddressType[]","64 B (0%)","2 (0%)"
"net.i2p.router.update.ConsoleUpdateManager$VersionAvailable","64 B (0%)","2 (0%)"
"org.xlattice.crypto.filters.KeySelector$GenericWordSelector","64 B (0%)","4 (0%)"
"net.i2p.router.crypto.FamilyKeyCrypto$Result[]","64 B (0%)","1 (0%)"
"sun.security.provider.certpath.ldap.JdkLDAP$ProviderService","64 B (0%)","1 (0%)"
"sun.nio.ch.ChannelInputStream","64 B (0%)","2 (0%)"
"org.eclipse.jetty.server.SecureRequestCustomizer","64 B (0%)","2 (0%)"
"net.i2p.router.networkdb.kademlia.PersistentDataStore$ReadJob","64 B (0%)","1 (0%)"
"jdk.internal.util.Preconditions$4","64 B (0%)","4 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property","64 B (0%)","2 (0%)"
"net.i2p.router.client.ClientManager","64 B (0%)","1 (0%)"
"sun.security.ssl.SSLScope","64 B (0%)","2 (0%)"
"sun.font.FreetypeFontScaler","64 B (0%)","2 (0%)"
"java.awt.color.ICC_ProfileRGB","64 B (0%)","2 (0%)"
"sun.font.CompositeGlyphMapper","64 B (0%)","2 (0%)"
"java.lang.annotation.RetentionPolicy[]","64 B (0%)","2 (0%)"
"javax.servlet.SessionTrackingMode[]","64 B (0%)","2 (0%)"
"sun.awt.SoftCache","64 B (0%)","2 (0%)"
"jdk.internal.module.ServicesCatalog","64 B (0%)","4 (0%)"
"javax.management.AttributeList","64 B (0%)","2 (0%)"
"jdk.proxy2.$Proxy2","64 B (0%)","4 (0%)"
"net.i2p.stat.StatManager","64 B (0%)","2 (0%)"
"sun.security.provider.SecureRandom","64 B (0%)","2 (0%)"
"net.metanotion.io.block.BlockFile","64 B (0%)","1 (0%)"
"org.rrd4j.graph.Line","64 B (0%)","2 (0%)"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop","64 B (0%)","2 (0%)"
"org.xlattice.crypto.filters.KeySelector$GenericBitSelector","64 B (0%)","4 (0%)"
"sun.rmi.server.UnicastRef","64 B (0%)","4 (0%)"
"java.lang.ref.WeakReference[]","64 B (0%)","2 (0%)"
"org.rrd4j.DsType[]","64 B (0%)","2 (0%)"
"java.security.KeyStore","64 B (0%)","2 (0%)"
"org.apache.jasper.runtime.JspApplicationContextImpl","64 B (0%)","2 (0%)"
"java.awt.color.ICC_Profile","64 B (0%)","2 (0%)"
"sun.java2d.loops.RenderCache$Entry","64 B (0%)","2 (0%)"
"java.util.logging.LogManager$RootLogger","64 B (0%)","1 (0%)"
"net.i2p.data.DataHelper$PatternCache","64 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.access.FileFilterDefinitionElement","64 B (0%)","2 (0%)"
"net.i2p.i2ptunnel.irc.IrcOutboundFilter","64 B (0%)","2 (0%)"
"sun.security.ssl.SSLCipher$T11BlockWriteCipherGenerator","64 B (0%)","4 (0%)"
"javax.management.remote.JMXServiceURL","64 B (0%)","2 (0%)"
"jdk.xml.internal.XMLSecurityManager$Limit[]","64 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl","64 B (0%)","1 (0%)"
"java.net.InetAddress$CachedLocalHost","64 B (0%)","2 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic[]","64 B (0%)","1 (0%)"
"sun.security.provider.FileInputStreamPool$StreamRef","64 B (0%)","2 (0%)"
"java.lang.invoke.MethodHandles$Lookup$ClassOption","64 B (0%)","2 (0%)"
"sun.font.FontConfigManager$FcCompFont[]","64 B (0%)","1 (0%)"
"org.eclipse.jetty.server.HttpChannelState$Action[]","56 B (0%)","1 (0%)"
"org.klomp.snark.comments.CommentSet","56 B (0%)","1 (0%)"
"org.apache.taglibs.standard.tag.rt.core.SetTag","56 B (0%)","1 (0%)"
"net.i2p.router.transport.GeoIP","56 B (0%)","1 (0%)"
"net.i2p.data.EmptyProperties","56 B (0%)","1 (0%)"
"org.apache.el.parser.ELParser$JJCalls[]","56 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.jaxp.SAXParserImpl","56 B (0%)","1 (0%)"
"org.bouncycastle.crypto.CryptoServicePurpose[]","56 B (0%)","1 (0%)"
"org.tanukisoftware.wrapper.WrapperProperties","56 B (0%)","1 (0%)"
"net.i2p.update.UpdateMethod[]","56 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.UDPTransport$ExpirePeerEvent","56 B (0%)","1 (0%)"
"net.i2p.router.transport.OutboundMessageRegistry$CleanupTask","56 B (0%)","1 (0%)"
"jdk.internal.org.objectweb.asm.Label","56 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.UDPTransport$SharedBid[]","56 B (0%)","1 (0%)"
"sun.awt.AppContext","56 B (0%)","1 (0%)"
"net.i2p.app.ClientAppState[]","56 B (0%)","1 (0%)"
"net.i2p.router.crypto.FamilyKeyCrypto","56 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType[]","56 B (0%)","1 (0%)"
"sun.font.CMap$CMapFormat4","56 B (0%)","1 (0%)"
"net.i2p.router.transport.TransportManager","56 B (0%)","1 (0%)"
"net.i2p.router.web.RouterConsoleRunner","56 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.StoreJob$FailedJob","56 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.StartExplorersJob","56 B (0%)","1 (0%)"
"net.i2p.router.message.OutboundClientMessageOneShotJob$DispatchJob","56 B (0%)","1 (0%)"
"java.nio.file.StandardOpenOption[]","56 B (0%)","1 (0%)"
"java.util.Map[]","56 B (0%)","1 (0%)"
"java.util.logging.LogManager","56 B (0%)","1 (0%)"
"net.i2p.router.peermanager.PeerTestJob","56 B (0%)","1 (0%)"
"java.util.ServiceLoader","56 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.InboundEstablishState$InboundState[]","56 B (0%)","1 (0%)"
"sun.rmi.runtime.Log$InternalStreamHandler","56 B (0%)","1 (0%)"
"net.i2p.router.web.DeadlockDetector","56 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$Location[]","56 B (0%)","1 (0%)"
"org.eclipse.jetty.server.ResponseWriter","56 B (0%)","1 (0%)"
"net.i2p.data.router.RouterKeyGenerator","56 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.StoreJob$SendSuccessJob","56 B (0%)","1 (0%)"
"i2p.susi.dns.LogBean","56 B (0%)","1 (0%)"
"io.prometheus.metrics.config.ExporterOpenTelemetryProperties","56 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit[]","56 B (0%)","1 (0%)"
"sun.security.ssl.SSLContextImpl$TLSContext","56 B (0%)","1 (0%)"
"net.i2p.prometheus.web.PrometheusServlet","56 B (0%)","1 (0%)"
"net.i2p.crypto.eddsa.math.Field","56 B (0%)","1 (0%)"
"sun.java2d.NullSurfaceData","56 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.util.XMLAttributesIteratorImpl","56 B (0%)","1 (0%)"
"sun.awt.SunHints$Value[][]","56 B (0%)","1 (0%)"
"java.lang.Runnable[]","56 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer","56 B (0%)","1 (0%)"
"net.i2p.router.MessageHistory","48 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.I2PTunnelHTTPServer$CompressedRequestor","48 B (0%)","1 (0%)"
"org.eclipse.jetty.webapp.Origin[]","48 B (0%)","1 (0%)"
"sun.security.ssl.SSLCipher$StreamReadCipherGenerator","48 B (0%)","3 (0%)"
"jdk.jfr.internal.PlatformRecorder","48 B (0%)","1 (0%)"
"net.i2p.router.peermanager.PeerManager$Reorg","48 B (0%)","1 (0%)"
"com.sun.beans.introspect.PropertyInfo$Name[]","48 B (0%)","1 (0%)"
"jdk.xml.internal.XMLSecurityManager$Processor","48 B (0%)","2 (0%)"
"sun.reflect.generics.tree.Wildcard","48 B (0%)","2 (0%)"
"com.sun.management.VMOption$Origin[]","48 B (0%)","1 (0%)"
"net.i2p.util.TempDirScanner","48 B (0%)","1 (0%)"
"net.i2p.router.client.ClientManager$ClientTimestamper","48 B (0%)","1 (0%)"
"sun.security.rsa.PSSParameters","48 B (0%)","3 (0%)"
"net.i2p.router.peermanager.PeerManager","48 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.ExpireRoutersJob","48 B (0%)","1 (0%)"
"net.i2p.data.i2np.OutboundTunnelBuildReplyMessage","48 B (0%)","1 (0%)"
"net.i2p.data.i2np.DataMessage","48 B (0%)","1 (0%)"
"javax.el.BeanELResolver","48 B (0%)","2 (0%)"
"java.util.stream.Nodes$LongFixedNodeBuilder","48 B (0%)","2 (0%)"
"java.io.ObjectInputFilter$Config$Global$$Lambda.0x00007f41c8010000","48 B (0%)","3 (0%)"
"java.lang.NullPointerException","48 B (0%)","1 (0%)"
"jdk.internal.icu.impl.Norm2AllModes","48 B (0%)","2 (0%)"
"net.i2p.i2ptunnel.I2PTunnelClientBase$SocketManagerState","48 B (0%)","2 (0%)"
"java.util.logging.Logger$LoggerBundle","48 B (0%)","2 (0%)"
"java.time.ZonedDateTime","48 B (0%)","2 (0%)"
"org.rrd4j.core.RrdSafeFileBackendFactory","48 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.BuildExecutor","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","48 B (0%)","2 (0%)"
"net.i2p.router.networkdb.kademlia.StoreMessageSelector","48 B (0%)","1 (0%)"
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo[]","48 B (0%)","1 (0%)"
"java.util.stream.ReferencePipeline$5$1","48 B (0%)","2 (0%)"
"net.i2p.router.networkdb.kademlia.MessageWrapper$OneTimeSession","48 B (0%)","2 (0%)"
"javax.imageio.ImageTypeSpecifier$Packed","48 B (0%)","1 (0%)"
"jdk.internal.jimage.ImageHeader","48 B (0%)","1 (0%)"
"net.i2p.router.crypto.pqc.MLKEM$MLKEMFactory","48 B (0%)","3 (0%)"
"java.text.AttributedCharacterIterator$Attribute","48 B (0%)","3 (0%)"
"net.i2p.router.transport.CommSystemFacadeImpl$NetMonitor","48 B (0%)","1 (0%)"
"com.maxmind.db.Reader$FileMode","48 B (0%)","2 (0%)"
"java.util.regex.Pattern$$Lambda.0x00007f41c8379a78","48 B (0%)","2 (0%)"
"sun.security.jca.ProviderList$3","48 B (0%)","2 (0%)"
"java.lang.management.MemoryPoolMXBean[]","48 B (0%)","1 (0%)"
"java.lang.Object[][]","48 B (0%)","1 (0%)"
"net.i2p.router.networkdb.PublishLocalRouterInfoJob","48 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.UDPReceiver","48 B (0%)","1 (0%)"
"java.util.concurrent.TimeUnit[]","48 B (0%)","1 (0%)"
"org.rrd4j.core.RrdDbPool$ACTION","48 B (0%)","2 (0%)"
"sun.security.ssl.SSLAlgorithmConstraints","48 B (0%)","2 (0%)"
"java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy","48 B (0%)","3 (0%)"
"org.eclipse.jetty.http.HttpGenerator$Result[]","48 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$RMIServerCommunicatorAdmin","48 B (0%)","1 (0%)"
"net.i2p.router.transport.ntcp.NTCPConnection$DelayedCloser","48 B (0%)","1 (0%)"
"net.i2p.util.LogConsoleBuffer","48 B (0%)","2 (0%)"
"net.i2p.router.peermanager.ProfileOrganizer$Slice[]","48 B (0%)","1 (0%)"
"jdk.proxy1.$Proxy5","48 B (0%)","3 (0%)"
"sun.security.x509.NetscapeCertTypeExtension$MapEntry[]","48 B (0%)","1 (0%)"
"java.math.RoundingMode[]","48 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.UDPSender","48 B (0%)","1 (0%)"
"jdk.jfr.internal.MetadataRepository","48 B (0%)","1 (0%)"
"sun.java2d.ReentrantContextProviderTL$1","48 B (0%)","2 (0%)"
"sun.security.jca.ProviderList","48 B (0%)","2 (0%)"
"java.nio.charset.CodingErrorAction","48 B (0%)","3 (0%)"
"org.rrd4j.graph.TimeUnit[]","48 B (0%)","1 (0%)"
"sun.security.ssl.SSLCipher$StreamWriteCipherGenerator","48 B (0%)","3 (0%)"
"jdk.internal.misc.Signal$NativeHandler","48 B (0%)","2 (0%)"
"sun.font.CMap$CMapFormat12","48 B (0%)","1 (0%)"
"org.apache.taglibs.standard.tag.common.core.ForEachSupport$SimpleForEachIterator","48 B (0%)","2 (0%)"
"net.i2p.i2pcontrol.servlets.configuration.ConfigurationManager","48 B (0%)","1 (0%)"
"javax.management.Notification","48 B (0%)","1 (0%)"
"net.i2p.util.PortMapper","48 B (0%)","2 (0%)"
"jdk.internal.module.ModuleHashes","48 B (0%)","2 (0%)"
"sun.java2d.loops.DrawGlyphListColor","48 B (0%)","1 (0%)"
"net.i2p.router.web.helpers.SidebarHelper$NetworkState[]","48 B (0%)","1 (0%)"
"net.i2p.client.streaming.impl.ConnectionManager$PingRequest","48 B (0%)","2 (0%)"
"gnu.getopt.LongOpt[]","48 B (0%)","1 (0%)"
"org.rrd4j.core.RrdDbPool","48 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentSkipListMap","48 B (0%)","1 (0%)"
"org.eclipse.jetty.security.authentication.DigestAuthenticator","48 B (0%)","1 (0%)"
"io.prometheus.metrics.core.exemplars.ExemplarSamplerConfig","48 B (0%)","1 (0%)"
"sun.security.provider.certpath.X509CertPath","48 B (0%)","2 (0%)"
"java.util.concurrent.ArrayBlockingQueue","48 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer$Factory","48 B (0%)","1 (0%)"
"org.jfree.svg.SVGUnits[]","48 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.JSONRPC2Servlet","48 B (0%)","1 (0%)"
"sun.font.FontStrike[]","48 B (0%)","1 (0%)"
"org.eclipse.jetty.server.HttpChannelState$State[]","48 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.PersistentDataStore$Disconnector","48 B (0%)","2 (0%)"
"net.i2p.router.networkdb.kademlia.LookupThrottler","48 B (0%)","1 (0%)"
"net.i2p.router.tunnel.TunnelDispatcher$LeaveTunnel","48 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.access.AccessFilter$Syncer","48 B (0%)","1 (0%)"
"java.lang.annotation.Annotation[]","48 B (0%)","3 (0%)"
"net.i2p.i2pcontrol.security.SecurityManager$Sweeper","48 B (0%)","1 (0%)"
"jdk.internal.icu.impl.Norm2AllModes$ComposeNormalizer2","48 B (0%)","2 (0%)"
"java.util.ResourceBundle$NoFallbackControl","48 B (0%)","3 (0%)"
"net.i2p.router.networkdb.kademlia.RepublishLeaseSetJob$OnRepublishFailure","48 B (0%)","1 (0%)"
"javax.management.NotificationBroadcasterSupport","48 B (0%)","2 (0%)"
"org.klomp.snark.ConnectionAcceptor$Cleaner","48 B (0%)","1 (0%)"
"java.text.RuleBasedCollator","48 B (0%)","1 (0%)"
"java.util.concurrent.Semaphore","48 B (0%)","3 (0%)"
"net.i2p.router.tasks.ReadConfigJob","48 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.access.AccessFilter$Purger","48 B (0%)","1 (0%)"
"net.i2p.router.InNetMessagePool","48 B (0%)","1 (0%)"
"java.util.Base64$Decoder","48 B (0%)","3 (0%)"
"sun.rmi.server.WeakClassHashMap$ValueCell","48 B (0%)","3 (0%)"
"jdk.internal.misc.ThreadTracker","48 B (0%)","3 (0%)"
"java.rmi.dgc.VMID","48 B (0%)","2 (0%)"
"java.security.Provider$OPType","48 B (0%)","2 (0%)"
"net.i2p.router.networkdb.kademlia.RefreshRoutersJob","48 B (0%)","1 (0%)"
"sun.security.provider.JavaKeyStore$KeyEntry","48 B (0%)","2 (0%)"
"net.i2p.router.transport.udp.PeerTestManager","48 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$BindCaller$InjectedInvokerHolder","48 B (0%)","2 (0%)"
"java.time.format.DateTimeFormatterBuilder$ZoneIdPrinterParser","48 B (0%)","2 (0%)"
"net.i2p.router.message.GarlicConfig","48 B (0%)","1 (0%)"
"net.i2p.router.Banlist$Cleanup","48 B (0%)","1 (0%)"
"jdk.internal.icu.util.CodePointTrie$Type","48 B (0%)","2 (0%)"
"net.i2p.data.i2np.VariableTunnelBuildReplyMessage","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings","48 B (0%)","1 (0%)"
"sun.awt.MostRecentKeyValue","48 B (0%)","2 (0%)"
"java.beans.WeakIdentityMap$Entry[]","48 B (0%)","1 (0%)"
"net.i2p.data.SDSCache$Shutdown","48 B (0%)","3 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry","48 B (0%)","2 (0%)"
"org.eclipse.jetty.server.HttpChannelState$Async[]","48 B (0%)","1 (0%)"
"javax.crypto.CryptoPermissions","48 B (0%)","2 (0%)"
"sun.management.counter.Units[]","48 B (0%)","1 (0%)"
"sun.java2d.loops.DrawGlyphListColor$General","48 B (0%)","1 (0%)"
"org.eclipse.jetty.server.HttpInput$EofContent","48 B (0%)","2 (0%)"
"org.eclipse.jetty.server.Server$DateField","48 B (0%)","2 (0%)"
"net.i2p.router.tunnel.pool.BuildHandler$BuildReplyMessageState","48 B (0%)","2 (0%)"
"sun.java2d.pipe.SpanClipRenderer","48 B (0%)","3 (0%)"
"net.i2p.router.transport.udp.PeerState2$MigrationState","48 B (0%)","2 (0%)"
"jdk.internal.reflect.ReflectionFactory$Config","48 B (0%)","2 (0%)"
"org.eclipse.jetty.util.IteratingCallback$State[]","48 B (0%)","1 (0%)"
"jdk.management.jfr.FlightRecorderMXBeanImpl","48 B (0%)","1 (0%)"
"java.io.File$PathStatus","48 B (0%)","2 (0%)"
"io.prometheus.metrics.config.PrometheusProperties","48 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.OutboundMessageFragments","48 B (0%)","1 (0%)"
"jdk.internal.icu.impl.UCharacterProperty","48 B (0%)","1 (0%)"
"java.security.CodeSigner[]","48 B (0%)","2 (0%)"
"jdk.jfr.internal.periodic.FlushTask","48 B (0%)","1 (0%)"
"java.util.regex.Pattern[]","48 B (0%)","1 (0%)"
"net.i2p.util.LogLimit","48 B (0%)","2 (0%)"
"net.i2p.router.transport.udp.PacketHandler","48 B (0%)","1 (0%)"
"javax.el.ExpressionFactory$CacheKey","48 B (0%)","2 (0%)"
"sun.nio.ch.SocketDispatcher","48 B (0%)","3 (0%)"
"jdk.internal.icu.impl.Norm2AllModes$Norm2AllModesSingleton","48 B (0%)","2 (0%)"
"net.i2p.router.crypto.ratchet.RatchetPayload$DateTimeBlock","48 B (0%)","2 (0%)"
"sun.security.util.DisabledAlgorithmConstraints$Constraints","48 B (0%)","3 (0%)"
"org.eclipse.jetty.util.RegexSet","48 B (0%)","2 (0%)"
"i2p.susi.dns.BaseBean","48 B (0%)","1 (0%)"
"org.eclipse.jetty.server.HttpOutput$OutputState[]","48 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.ListDatatypeValidator","48 B (0%)","3 (0%)"
"net.i2p.router.transport.udp.IntroductionManager","48 B (0%)","1 (0%)"
"net.i2p.crypto.eddsa.math.Curve","48 B (0%)","1 (0%)"
"org.eclipse.jetty.webapp.WebDescriptor$1","48 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl","48 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$ElementStack","48 B (0%)","1 (0%)"
"java.util.logging.LoggingPermission","48 B (0%)","2 (0%)"
"net.i2p.router.transport.udp.UDPEndpoint","48 B (0%)","1 (0%)"
"javax.el.BeanELResolver$ConcurrentCache","48 B (0%)","2 (0%)"
"net.i2p.i2ptunnel.TunnelController$TunnelState[]","48 B (0%)","1 (0%)"
"sun.java2d.SurfaceData$PixelToPgramLoopConverter","48 B (0%)","1 (0%)"
"org.eclipse.jetty.servlet.ServletHolder$JspContainer","48 B (0%)","2 (0%)"
"java.lang.invoke.MethodHandleImpl$WrappedMember","48 B (0%)","1 (0%)"
"java.util.concurrent.Executors$DelegatedScheduledExecutorService","48 B (0%)","2 (0%)"
"java.net.InetAddress[]","48 B (0%)","2 (0%)"
"net.i2p.router.MessageHistory$WriteJob","40 B (0%)","1 (0%)"
"org.eclipse.jetty.http.HttpTokens$EndOfContent[]","40 B (0%)","1 (0%)"
"org.tanukisoftware.wrapper.WrapperSimpleApp","40 B (0%)","1 (0%)"
"net.i2p.router.crypto.ratchet.RatchetEntry","40 B (0%)","1 (0%)"
"java.lang.ArrayStoreException","40 B (0%)","1 (0%)"
"sun.awt.OSInfo$OSType[]","40 B (0%)","1 (0%)"
"net.i2p.router.transport.OutboundMessageRegistry","40 B (0%)","1 (0%)"
"java.util.concurrent.CompletableFuture$UniExceptionally","40 B (0%)","1 (0%)"
"java.util.ServiceLoader$LazyClassPathLookupIterator","40 B (0%)","1 (0%)"
"sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator[]","40 B (0%)","1 (0%)"
"net.i2p.router.KeyManager","40 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.FloodfillDatabaseLookupMessageHandler","40 B (0%)","1 (0%)"
"sun.awt.image.BufferedImageGraphicsConfig","40 B (0%)","1 (0%)"
"net.i2p.router.message.OutboundCache","40 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$ElementStack2","40 B (0%)","1 (0%)"
"net.i2p.sam.UTF8Reader","40 B (0%)","1 (0%)"
"org.eclipse.jetty.http.HttpGenerator$State[]","40 B (0%)","1 (0%)"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor","40 B (0%)","1 (0%)"
"com.sun.xml.internal.stream.XMLEntityStorage","40 B (0%)","1 (0%)"
"net.i2p.prometheus.PromManager","40 B (0%)","1 (0%)"
"jdk.internal.agent.resources.agent","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.JmxMBeanServer","40 B (0%)","1 (0%)"
"java.lang.invoke.LambdaForm$Name[][]","40 B (0%)","1 (0%)"
"com.sun.beans.introspect.ClassInfo$1","40 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.util.SymbolTable","40 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.BuildHandler$TunnelBuildMessageHandlerJob","40 B (0%)","1 (0%)"
"java.io.StringReader","40 B (0%)","1 (0%)"
"net.i2p.router.transport.ntcp.OutboundNTCP2State$State[]","40 B (0%)","1 (0%)"
"net.i2p.router.transport.TransportUtil$IPv6Config[]","40 B (0%)","1 (0%)"
"javax.crypto.CryptoAllPermission","40 B (0%)","1 (0%)"
"org.eclipse.jetty.util.StringUtil$CsvSplitState[]","40 B (0%)","1 (0%)"
"java.lang.ArithmeticException","40 B (0%)","1 (0%)"
"java.time.format.DateTimeFormatterBuilder$NanosPrinterParser","40 B (0%)","1 (0%)"
"org.apache.jasper.el.JasperELResolver","40 B (0%)","1 (0%)"
"sun.nio.ch.DatagramSocketAdaptor","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$10","40 B (0%)","1 (0%)"
"net.i2p.router.message.GarlicMessageHandler","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[]","40 B (0%)","2 (0%)"
"org.eclipse.jetty.http.pathmap.PathSpecGroup[]","40 B (0%)","1 (0%)"
"sun.awt.resources.awt","40 B (0%)","1 (0%)"
"java.lang.VirtualMachineError","40 B (0%)","1 (0%)"
"net.i2p.data.i2cp.SendMessageExpiresMessage","40 B (0%)","1 (0%)"
"org.apache.el.parser.ELParser$LookaheadSuccess","40 B (0%)","1 (0%)"
"net.i2p.client.impl.MessageState$State[]","40 B (0%)","1 (0%)"
"sun.management.MappedMXBeanType$CompositeDataMXBeanType","40 B (0%)","1 (0%)"
"jdk.internal.icu.impl.CharTrie","40 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.InboundMessageFragments","40 B (0%)","1 (0%)"
"jdk.internal.event.VirtualThreadStartEvent","40 B (0%)","1 (0%)"
"sun.security.ec.ECOperations","40 B (0%)","1 (0%)"
"org.eclipse.jetty.server.Utf8HttpWriter","40 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.security.SecurityManager","40 B (0%)","1 (0%)"
"net.i2p.crypto.eddsa.math.GroupElement$Representation[]","40 B (0%)","1 (0%)"
"org.eclipse.jetty.server.handler.gzip.GzipHttpOutputInterceptor$GZState[]","40 B (0%)","1 (0%)"
"jdk.internal.icu.text.StringPrep","40 B (0%)","1 (0%)"
"java.beans.WeakIdentityMap$Entry","40 B (0%)","1 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type[]","40 B (0%)","1 (0%)"
"java.lang.IllegalArgumentException","40 B (0%)","1 (0%)"
"org.rrd4j.graph.RrdGraphConstants$FontTag[]","40 B (0%)","1 (0%)"
"org.rrd4j.core.RrdNioBackendFactory","40 B (0%)","1 (0%)"
"java.lang.Exception","40 B (0%)","1 (0%)"
"short[][][]","40 B (0%)","1 (0%)"
"net.i2p.crypto.YKGenerator","40 B (0%)","1 (0%)"
"net.i2p.crypto.SigAlgo[]","40 B (0%)","1 (0%)"
"sun.security.rsa.RSAPrivateKeyImpl","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$8","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$9","40 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.access.AccessFilter","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$1","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$2","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$3","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$4","40 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.MessageReceiver","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$5","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$6","40 B (0%)","1 (0%)"
"sun.security.util.KnownOIDs$7","40 B (0%)","1 (0%)"
